geometry,order,u_right,unitary_defect,phase_drift_S12
schwarzschild,first_order,60.0,0.0003465410957353885,0.007211009277839298
schwarzschild,first_order,80.0,0.00019489891507482542,0.004514408993527064
schwarzschild,first_order,110.0,0.00010307827507407327,0.0026222220421322495
schwarzschild,first_order,150.0,5.5430566118726865e-05,0.001470868757514343
schwarzschild,first_order,200.0,3.117860025075366e-05,0.0008119172619630022
schwarzschild,first_order,270.0,1.7107344354538222e-05,0.0003842822424138803
schwarzschild,first_order,360.0,9.622722479639891e-06,0.00013988473396303602
schwarzschild,refined,60.0,0.0003465410957351663,0.016878414744131043
schwarzschild,refined,80.0,0.0001948989150766016,0.01183139076801587
schwarzschild,refined,110.0,0.0001030782750794026,0.007836684352265921
schwarzschild,refined,150.0,5.543056612005928e-05,0.005057005860885866
schwarzschild,refined,200.0,3.117860026185631e-05,0.0031912835148174556
schwarzschild,refined,270.0,1.7107344341215048e-05,0.0017586781778713423
schwarzschild,refined,360.0,9.622722484969389e-06,0.0007488408887946219
kerr,first_order,60.0,0.0004616682842056815,0.00825304824833284
kerr,first_order,80.0,0.00025963895219915326,0.005171408302756031
kerr,first_order,110.0,0.0001373156135369631,0.0029977577972303826
kerr,first_order,150.0,7.384045207347537e-05,0.0016972889095914212
kerr,first_order,200.0,4.153385100116162e-05,0.0009469244810229593
kerr,first_order,270.0,2.2789094245239208e-05,0.0004578608984733834
kerr,first_order,360.0,1.2818834887029666e-05,0.00017111692493904096
kerr,refined,60.0,0.0004616682842079017,0.017920453714619256
kerr,refined,80.0,0.00025963895219870874,0.012488390077242062
kerr,refined,110.0,0.00013731561353651906,0.008212220107364776
kerr,refined,150.0,7.384045208280138e-05,0.005283426012952952
kerr,refined,200.0,4.153385099627641e-05,0.003326290733852433
kerr,refined,270.0,2.278909423613546e-05,0.001832256833921575
kerr,refined,360.0,1.2818834882366472e-05,0.0007800730797893896
